Property Name,Review Rating,Review Title,ReviewText,Location Of The Reviewer,Date Of Review
The Savoy,2,what a disappointment,"was so looking forward to staying here had high expections, what a let down it was we had a connecting room as we took the children, rooms are small they are clean but for over £1000 a night u expect a bit more there was five of us altogether and felt like we was crammed in | staff are rude I've stayed a cheaper hotels and got treated better","Derby, United Kingdom",6/5/2016
The Dorchester,4,Great hotel needs to up its game to compete today,"Just a short stay mainly focussed around the Alain Ducasse restaurant with friends | The rooms are quite nice not dissimilar to Claridges, I think there is room for improvement in in room facilities escpaially at this price point (when the rates go up around other city activities) | I do think it would be incredibly costly to modernise the hotel so a tasteful refurb would be great as some hall carpets are very tired.",Cheshire,1/4/2017
Corinthia Hotel London,5,a true five star hotel,"The Corinthia is a hotel that I expect when I read that a hotel is five stars. The rooms are spacious, the bed was as comfortable as home. The bathroom was large with two sinks and a great shower as well as a separate bath and soft fluffy towels. Of course everything was very clean. The service and the concierge were accessible and always helpful. The location in Westminster was ideal for touring, shopping and of course to the Underground. The only negative was the price of the food in the restaurants. A tiny caesar salad that was nothing special for 22 pounds is not memorable. Regardless, I would be delighted to stay there again.",Pittsburgh,10/6/2016
Apex London Wall Hotel,5,Surprisingly quiet in Central London,I booked 1 night DBB choosing this hotel as it was so close to the Barbican where my daughter was graduating. We stayed Sunday night and I have never know London so quiet! | We were upgraded on arrival to a room with a balcony which was great as it was also our wedding anniversary and we enjoyed sitting on the balcony sipping wine - absolutely loved the HUGE bathroom and complimentary toiletries including my first rubber duck. Modern decor but with everything you need eg iron etc. | Dinner was tasty as was breakfast. | City streets were busier the following morning but it's definitely a hotel chain I would seek out again,Lincolnshire,11/13/2014
Mondrian London at Sea Containers,5,Amazing proposal venue!,"Well, what can I say...I chose this venue to propose to my girlfriend (now fiance!) as it was a brand new hotel and has had excellent reviews since it's been open. I wasn't disappointed! | Before I booked the room, I got in touch with the hotel to let them know my plans. The Guest Experience Manager (Luke Neill) was more than happy to personally show me around the hotel, show me the various room types and also the bars and restaurants available. | I went for the River View Balcony Suite, as it was very spacious, beautifully decorated and offered one of the best views of the river and London, right from it's very own private balcony. The balcony overlooks St Pauls, and as most visitors to London will know, central London at night is a must see! | Before I proposed, we went for a few drinks in the Rumpus Room, which is the Mondrian's rooftop terrace bar which offers 360 degree views around London. The atmosphere of the bar is very chic and sophisticated, offering an excellent signature cocktail list. | Throughout the trip, the staff were all incredibly attentive and really did all they could to help me with the proposal and make sure that the whole experience was a magical one. | Really would recommend the hotel and we'll definitely be back.","London, United Kingdom",1/8/2015
"Mandarin Oriental Hyde Park, London",5,Beautiful,"The Mandarin in London lives up to the five star rating that it deserves. Beautiful and spacious room with wonderful decorations. Great service and staff and perfectly located next to the Knightsbridge subway. Even when my room was not quite ready for check-in, the staff made sure I could use their spa facilities in the interim (which was also quite lovely). I plan on returning to this hotel for my future trips to London. Oh and I loved their Japanese breakfast. Delish!","Los Angeles, California",8/31/2014
Mondrian London at Sea Containers,5,Beautiful hotel in a great location,We had an amazing time staying at the Mondrian for our wedding. In total we had 20+ rooms and the feedback from everyone was fantastic. The staff couldn't have been more welcoming and they went out of their way to add little touches to our stay that really helped make our wedding weekend. The hotel is gorgeous and has amazing views out onto the river. The bars and the restaurant are great fun,London,12/10/2015
Mondrian London at Sea Containers,5,Very stylish accommodation,A nice and stylish hotel with a very impressive lobby. Staff is extremely helpful. Splendid location alongside the Thames. Just across the One Blackfriars train station and within short walking distance from the underground.,Galmaarden,6/13/2016
The Dorchester,2,The brand is bigger than the experience,"I had always wanted to stay at The Dorchester. It seems so grand and quintessentially British. Well, the lobby is anyway. We stayed six nights and after the first night asked to change rooms. We were staying in a standard king room and all I can say is it was shabby without the chic. Furniture is worn out, rug unraveling, and really no light as there was only a small window. For the pleasure of $100 USD more per night, we got moved to a refurbished room (ask when you check in). | The hallways really smell like grandma's attic - no kidding. | The service was also very hit and miss (as it turns out). | -- We tried on two separate evenings to get a bottle of champagne put on ice before we returned to the hotel but both times we returned to the room with no ice bucket (and this was with several hours notice). To be fair, after whining about it (because I was not happy), two complimentary glasses of champagne did show up with a nice bowl of nuts. | -- Thinking it was an apology, a fruit plate also showed up (it was put in our room but not meant for us). Sorry Mr. Smith but you will not be getting your welcome fruit plate. | -- When we moved rooms they didn't bring the guard railing for the toddler bed. We called and called. When we got back to the room late, there was a guard rail but it was literally in about 20 pieces laying on the ground by the door with the box next to it. Where we suppose to put it together for them? | On the plus side, the housekeeping staff are really good. Your room looks great when you return. They adjust the number of towels you need based on how you use them. The sheets are also extremely soft. | I've read all the reviews of how fabulous the service is and how special they make you feel -- we just didn't get that. We have been fortunate to stay in some fabulous five-star hotels around the world and this experience just didn't stack up.",Hong Kong,10/3/2013
Mondrian London at Sea Containers,3,Nice rooms but not quite wow,"Nice visit but didn't feel special. Upgraded to superior room on top floor (extra £35) so big room &amp; nice drencher shower. Room was very nicely done out. Didn't have a bar just for residents, so meant we couldn't get a table for pre dinner cocktails but sat at the bar and was fine. Rooftop bar doesn't open on Sundays even at bank hols which was a shame. For the rate we got it was good, but didn't have anything of a wow factor to justify top price. Didn't feel the service made it feel like a special experience. In summary, nothing wrong with it but feel there are nicer places to stay for time away together.",Woking,5/31/2016
Rhodes Hotel,4,Great Hosts,Chris and Maria were wonderful hosts. We stayed at the Rhodes during our honeymoon and they bought us champagne the first night we were there because they wanted to make our stay a little more special. Both were incredibly friendly and they were especially helpful in directing us around London and booking tickets for us for different attractions right from their front desk. Would reccomend this hotel to anyone who wants a more personable stay.,"Rochester NY girl in Harrisburg, PA",5/17/2007
A To Z Hotel,5,Excellent rapport qualité prix,"A 15 mn à pied, 5 en bus (passage fréquent) de la station de métro north acton (central line), un hotel simple mais suffisant pour petits budgets. C'est vrai, les tiroirs du petit bureau sont cassés , il n'y a pas de table de nuit.... C'est petit mais suffisant pour dormir et se laver. C'est tres propre, draps et serviettes comme le sol et la salle d'eau. Nettoyage tous les matins et serviettes propres. Accueil timide (tenu par des indiens) mais serviable (nous ont gardé une journee nos bagages le dernier jour). Petit déjeuner ok, toasts, beurre, café ou thé, jus d'orange, pot de lait, confitures. Tres calme, on a bien dormi pendant 6 nuits. Bref, à recommander, pour le prix c'est tres bien, meme plus propre que des hotels beaucoup plus chers dans le centre!","Paris, France",1/5/2016
Mondrian London at Sea Containers,5,"Fantastic nights stay, one of the best hotels I've ever been to!","My partner and I found this hotel by chance and saw it had good reviews. We couldn't have made a better choice! Every member of staff that we came into contact with were amazingly helpful and would go out of their way to make your stay as fantastic as possible!! The room was incredible, especially as it was only a ""standard room"". Very good price for what you get, the breakfast was faultless and wouldn't second guess going there again! I would recommend phoning them to book a room as you can make them aware of any special requirements needed.",NA,6/20/2015
Corinthia Hotel London,5,Corinthia Hotel London - WOW,"I have just returned from a very quick trip to London. I stayed at the Corinthia Hotel which was just spectacular. Located very conveniently at Whitehall Place. Warm welcome after a long flight from San Francisco. Check in very friendly and effcient. Room was terrific. Spacious, extremely comfortable and stunning to look at. Bathroom is great with a huge bathtub. Dressing room with convenient full length mirror - plentiful hanging space and hangers. Hotel has free wi-fi . Spa is pretty much beyond description. Be ready for an experience !! Lounges and restaruants are excellent. Hotel staff - everyone goes the extra mile to be friendly and still very professional. My only complaint - I wasn't there long enough. I am a Travel Consultant and would recommend this Hotel to my clients with total confidence.",san francisco,11/28/2011
Apex London Wall Hotel,4,Excellent service,It's a family trip by staying at a business district hotel. The location is convenient to get connection to shopping areas with the tube. Rooms are nice and clean. | I appreciate very much about the reception staff and restaurant staff. They are very helpful and friendly especially the ladies (one named Eva at the reception). The restaurant staff do remember what drink we have ordered on the 2nd visit for BKF. They do a very good welcoming and we enjoy the stay a lot.,"Hong Kong, China",1/31/2017
Ridgemount Hotel,5,Excellent,"Nous avons pris l'habitude de descendre dans cet hotel familial à chaque escapade à Londres, situation au top, propreté impécable, service sans faille du personnel, et un excelent petit dejeuner (et la gentillesse de Rita). | Mr &amp; Mrs Rees, les propriétaires sont la pour vous conseiller et endossent l'habit de concierge à la perfection. | Les chambres sont petites, certes, avec un deco decalée qui semble ne pas avoir évoluée depuis des années, nous qui sommes plus attirés par le Vintage et des hotels plus ""tendance"" (nous sommes d'ailleurs à Paris ce weekend pour le salon du Vintage), mais tres confortables et suffisantes pour y dormir. | Quant aux prix, nous sommes à londres ... | Un hotel à ne pas manquer que nous recommandons avec plaisir !!!","Zurich, Switzerland",10/30/2011
Rhodes Hotel,5,It's All True!,"I'm always a little skeptical about what I read, but the glowing reviews of the Rhodes Hotel are all true. The location could not be better; Paddinton Station, Hyde Park and good food are all steps away. The rooms are quaint, comfortable and extremely clean. There's no elevator, which is probably good because it gives you a chance to walk off some of the ample breakfast. (Chris usually made a little something special for everyone to taste.) Our bags were carried up and down for us and there are conveniences that the big hotels don't offer like free wi-fi or use of their computer, free direct dial telephone and a frig in the room. But certainly the best thing about the Rhodes is not a thing, it's Chris and Maria. Maria is a fount of useful helpful information about where to go and how to get there. She takes each guest under her wing and treats them as if they are the only one staying with them. She arranged for a car to take us to Heathrow that was cheaper than the tube. Chris is not only an excellent chef but very interested in his guests and the world around him. They make a great pair and together they run a quiet, comfortable and affordable hotel. We were sorry to say good-bye to them and will definitely stay with them again.",San Diego,10/5/2006
The Savoy,5,Exceeded All My Expectations,"This was the most wonderful stay. Every little detail was attended to with alacrity and grace. From the warm welcome at the door by everyone on staff to the elegance of the room, we found ourselves lavished with Old World British service and attention. The suite we had (River View) was simply stunning. Very comfortable and elegant. After having been in a couple of other countries, the punctuality of our room service deliveries was appreciated. There was a leak from the ceiling of our suite and after it was reported, we were moved to another suite while we were out for dinner. Everything was moved and set up exactly as it had been in the previous suite! Right down to a little something which had been on the floor under the writing table. Amazing! We loved it and hope we have the opportunity to stay at the Savoy again on another trip to London.","Claremont, California",10/14/2013
"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",3,"Great location, fine hotel, odd service","We stayed for a few days in October, and it was a perfectly adequate hotel for our needs (a few days of leisurely sightseeing/shopping/eating). The location is wonderful- right at the Hyde Park corner tube stop, and across the street from Hyde Park. We enjoyed morning walks/runs/coffee every morning of our stay. There are a few pubs/restaurants nearby, as well as the bar/restaurant of the hotels in that area, but it's more of a residential/embassy area. Our room was fine, although on the first floor and a mostly frosted glass window with not much light coming through. The marble bathroom with heated floor is a nice touch! Everything was clean. The reason I gave it 3 stars is actually the service. Most people were polite, but there was were a few distinctive &amp; unhelpful interactions during our stay. First, we arrived pretty early from an international, overnight flight. We were obviously kind of tired and hoping they might have a room available, although fully aware they may not. We arrived to the hotel around 8:30am, and a room was not offered to us until 2:15pm. We had a very overpriced breakfast in the hotel, went for a long walk, and came back around 11:30, at which point we needed to change for a lunch. They offered us the stairwell &amp; lobby bathrooms to change in...which was really not very useful, although we did it. The other main issue I had was that their service in terms of our room &amp; belongings was rather invasive. They sent a butler to show the ""room features"", and then at turn down on the first night, they did quite a bit of unnecessary &amp; unwelcome unpacking of our clothes. They put things in the closet that we had to search for when we returned, and even put some clothes (some of which were our pajamas!) into the hotel laundry bag. I don't know if most people use the laundry service, but we were there for only a few days and it was most annoying for them to presume (and select which clothes) that we would send out our laundry. These were minor incidents, but because the place prides itself on service, I found this incongruous. We also asked twice to use the hotel car, and it was not available either time. We got a fairly good deal, and with the comfortable bed, clean bath &amp; great location, I would have felt like it was a place I could recommend. The invasive nature of the daily cleaning &amp; turndown services however truly detracted from our experience.",NC,11/8/2016
"Mandarin Oriental Hyde Park, London",5,exceptional service. great location. brilliant food.,mandarin oriental hyde park has pretty much everything. as astounding location at knightsbridge/hyde park makes access to london simple. first class service from staff makes a stay thoroughly enjoyable. two great in-house restaurants add much to the package. dinner by heston blumenthal is a must-do.,england,5/17/2015
The Dorchester,5,Outstanding,One of the best ever. You really think you have arrived. Great dining. Clearly one of the worlds best. Rooms elegant ; most luxurious baths you have ever seen. Staff outstanding. Can't say too much about this hotel.,"Saint Louis, Missouri",11/15/2014
Apex London Wall Hotel,5,Apex London Wall repeat visit,This is really just to provide another 5-star rating for this hotel and the staff who work there. I echo all of the other good reviews that the accommodation/cleanliness and staff have received and are looking forward to a return visit. Two recommendations for food and drink are the Brasserie Zedel in Piccadilly and the Princess of Wales in Primrose Hill - pretty random but two excellent places to stop by.,"Edinburgh, United Kingdom",12/8/2015
Mondrian London at Sea Containers,5,Just as good second time around!,"After an amazing experience the first time we stayed, we went back to the mondrian for a family birthday. It did not disappoint. The place is beautiful, great location with wonderful views, and the food and service is amazing. We were in touch with the lovely Luke in guest services who looked after us seamlessly throughout the organising process and really showed us an incredible and special time. He went above and beyond for us to make our day run perfectly. Thank you! We had a wonderful day and will definitely be back!",NA,10/15/2015
Corinthia Hotel London,5,Felt like a princess,"Took my mum here for a treat weekend in March - and what a treat it was. | We both felt like royalty not only because the surroundings are so plush but the staff make you feel like you're the only guest there and you're the most important. | Amazing service, good quality, beautiful surroundings.",london,10/20/2013
The Savoy,3,Safety concerns.....,"Lovely furnishings, amenities and service. However, when returning to my suite early one afternoon, I discovered an unexpected visitor. Unbeknownst to the ""visitor"", I had observed him entering my room from a distance. He appeared to be a maintenance person but later I realized he may have had more in mind than maintenance. | Some indicators: He did not place notification of his presence on the door so I would be aware of him before I entered; when I entered I called out and he did not reply or in any way acknowledge his presence (he may have thought I was housekeeping and would leave without discovering him in this fairly large 4 room suite); even as I entered the sitting room, he did not make himself known; once I observed him, he did not identify himself; his stance and location in the very center of the bedroom with no tools in hand was awkward; his explanation of repairing the ceiling chandelier which was - and had been - working perfectly was obviously fabricated on the spot; his sardonic remark as he quickly left was frightening. In hind sight I believe this person had malicious intentions. | All was reported to management. I requested a change of locking mechanisms but this request was declined. I was offered a fresh pot of tea. | After returning home, I had a brief email communication with the head of maintenance who assured me it was a maintenance employee who had entered to replace a light bulb. However he failed to explain why the man did not have a ladder with him as the light bulbs would not be visible without being able to see above the shades which were about 7 to 8 feet above the floor, much less be able to replace the bulbs. | I also sent an email to the regional office about two weeks ago and have yet to receive a reply. | Add to my experience the feeble fairy tale told by maintenance, the failure of a response from regional, and the casual attitude of the manager on site, it does appear there are security issues. Management does not want to discuss the problem, of course, because of negative publicity. | In hindsight I should have reported this to the police. I would advise not to stay at this hotel.",British Columbia,10/22/2015
The Rembrandt,5,Good Hotel - Great Area,"Very good hotel in a lovely area. Handy to the tube, Harrods and museums. Breakfast was good - coffee was the best bit. We found the towels in our room were slightly dirty the first night but apart from that, can't complain. Comfy bed and pillow :)",NA,11/4/2016
Apex London Wall Hotel,5,Freundliches & zukommendes Personal sowie sehr gute Lage,"Wir waren im Rahmen einer Städtereise für 3 Übernachtungen zu Gast im ""Apex London Wall Hotel"". Am Empfang wurden wir sehr freundlich begrüßt. Da wir bereits früh morgen angereist sind und die Zimmer verständlicherweise noch nicht bezugsfertig waren konnten wir unser Gepäck kostenlos abstellen. Dieses wurde später dann direkt durch das Personal auf das Zimmer gebracht. Unser Zimmer mit der Nummer 525 war toll eingerichtet und sehr sauber (siehe Bilder). Nach einem langen Sightseeing und Shopping Tag in London genau das richtige Hotel!","Roedermark, Germany",9/15/2012
The Savoy,5,The gift of a lifetime and a memory to last for ever,"A weekend at The Savoy-what more could a mother ask for as a special birthday present? My biggest fear was that as we didn't fit into the usual demograph of Savoy customers we would feel uncomfortable-not so at all.Our son who is a frequent business traveler used his ""points"" for our weekend -it gave him the opportunity to assess the hotel for his business too.We were welcomed personally and check in was smooth. Shown up to our adjoining rooms-first hiccup only one child bed but that was easily remedied-the children were each given a toy cat-nice touch.. The rooms are lovely- warm and spotless of course with loads of fluffy towels and interesting toiletries-the bathrooms were huge! There isn't time to list all the ways in which the concierge service helped us-they were amazing directing us to perfectly acceptable eating places nearby, booking tickets and generally making sure that we wanted for nothing. Also amazing was the service-I had to do a double take when I saw a man in a tail coat making the morning tea-he was the butler. A small birthday treat had been arranged but when it didn't materialise the apology included a bottle of champagne! I don't suppose I'll ever stay there again but what I would say is if you do get the chance to go don't be intimidated-go for it. Well done all at The Savoy-a reputation very well deserved-now where's that lottery ticket!",Leeds England,5/14/2013
Apex London Wall Hotel,4,Very good hotel in the City,Very good hotel when travelling for business. Staff friendly. rooms are Clean and the bathroom was pretty big. Only negative was breakfast which is served at the table and you had to wait for quite some time to get it served.,"Saint-Germain-en-Laye, France",12/19/2016
London Guest House,5,Good stay,"We had a good stay here the host are great and help you in every aspect and way they can. the place was nice and clean, it is value for money and is situated in a nice area. the staff are friendly too",united kingdom,8/9/2018
"Mandarin Oriental Hyde Park, London",5,Amazing 5 star hotel!,"Just came back from a marvelous stay at Mandarin Oriental Hyde Park. Everything was perfect, from the warm reception to the quick check out. | Congratulations to all staff members, which were extremely helpful and cared for our every need. We had a room upgrade, which was very thoughtful of them, and stayed at a room with a view to Knightsbridge and not only was the decoration beautiful, but organization and cleaning were also spot on. | The hotel location is also superb, just a few steps from Knightsbridge tube station and Harvey Nichols. Harrods is also just around the corner. | Make sure to try one of their restaurants as well. My fiancé and I booked a table at Bar Boulud and the food was exceptional! | We had an amazing time in London and staying at Mandarin Oriental only enhanced the experience. We shall most definitely come back in our next visit to London!","Sao Paulo, SP",11/19/2015
Mondrian London at Sea Containers,4,"Excellent location, great staff",Based at the Mondrian for 2 days on business. The rooms were excellent and the staff courteous and helpful. A special mention to Amy and the rest of the concierge team for their local insight and things to do! A great clientele to mix with after work | Highly recommended,"Colwyn Bay, United Kingdom",2/16/2016
Ridgemount Hotel,4,Great value in perfect location,"This is a cosy hotel. The rooms are small (read “tiny”) and not the most modern, but spotlessly clean. The location is good, service friendly and helpful. Breakfast is all right and wifi is free of charge (reception could be better, though). I'd warmly recommend this hotel to anyone who just wants a decent place to stay.","Lund, Sweden",4/5/2011
Apex London Wall Hotel,4,Eccellente,"In tutto, dalla struttura nuova in stile moderno, alla dotazione di tutti i comfort, al personale gentilissimo, professionale e molto disponibile. Elevato livello di pulizia, bagno pulitissimo e completo ( vasca + doccia) di generose dimensioni. Unica pecca la scarsa insonorizzazione della camera, in particolare della porta di accesso. | Il quartiere è molto tranquillo,nei fine settimana poco frequentato,ma si popola negli altri giorni. | La posizione è comodissima, ci sono ben quattro fermate della metro nel raggio di cinquecento metri. Ottimi anche i collegamenti di superficie. Liverpool station ( per chi arriva da Stansted in bus) dista soli cinque minuti a piedi. | Sempre a piedi si raggiungono facilmente London e Tower Bridge. | Maxpar64",NA,4/30/2013
The Savoy,5,Superior in every respect,"There is good reason for The Savoy Hotel attracting the reputation of superiority that they do. They are committed to excellence in every aspect of their hospitality. From the moment you arrive you are made to feel welcome, important and that nothing is too much trouble. The decor is comfortable and suitably English, plus their location cannot be faulted for convenience. Certainly to be recommended.","Johannesburg, Gauteng, South Africa",7/24/2017
Mondrian London at Sea Containers,5,Excellent hotel all round,"Have stayed many times before and keep coming back. Best value for money I can find in London and very attentive and helpful staff. Free steam room in the spa is very nice and open good hours. Breakfast is amazing and available until 11am weekdays I think, which is nice for a lie in. Location is brilliant - close to stations we use a lot (Blackfriars, Southwark and Waterloo) and love the short stroll to South Bank and everything around there. | Also big thanks to the staff for helping me retrieve something I'd accidentally left in the room - I called them when I realised at the airport and they rushed to the room, got a taxi to drive over and deliver it to me at the terminal in super quick time! | Excellent cot for our 4 month old baby too!",NA,7/4/2016
The Dorchester,2,Disappointing ...,"Having tried the Dorchester hotel in LA and Paris and was very satisfied, I decided to give it try at the iconic Dorchester in London, and what a disappointment. I booked a deluxe king bed room, 2 categories above the standard room, and I was given a room facing a big air conditioning unit and the room was designed for handicapped guests. My request to change the room was rejected till the following day when I made a fuss that they agreed to change the room, and was moved to a smaller room overlooking the air conditioning unit from the 3rd floor :) ... The description in the room on the web site clearly indicated that a deluxe king should be facing Mayfair or the Park. This a deceiving description, and most certainly this property is not good value for money and for the budget better stay at the four season next door.","Muscat, Oman",6/8/2014
Mondrian London at Sea Containers,4,Visit 3 July,"Very modern hotel but not as garish as we had feared. Superb views from the higher floors, as long as you don't mind lots of cranes and building-sites mixed in with the river, St Pauls and the Shard. Room (superior double) was big and ultra comfortable and clean, with very good facilities, and extremely quiet. Service was excellent when we arrived - quick and friendly check-in, our car whisked away for overnight parking very efficiently, luggage delivered promptly, and not a hint of staff hanging about for a tip. Had a meal in the restaurant (Sea Containers), very good and unusual menu and good service and you can sit in the open and watch the river. Next morning was a different story. Had to stand in a queue for check-out at 10.30, which was long before the final check-out time of noon. Then tried to have coffee with friends in the restaurant. It wasn't busy but still took nearly an hour to extract 4 coffees and a snack from staff who didn't seem interested - we had to keep going hunting for staff to get any service and for some reason the coffees came in two stages with 15 minutes between.",NA,7/5/2015
Apex London Wall Hotel,4,Good hotel but bad bed,"Very nice hotel in good location. We stayed on a Saturday night so both the hotel and surrounding area were very quiet. Just about 5 minutes walk from Liverpool street and Moorgate stations. Very friendly reception staff. Rooms lovely smallish but very clean and with good facilities including a rubber duck! My one complaint was the bed which was beyond firm - very hard, no give at all just like sleeping on a plank of wood. This was a shame as we didn't get a restful night. Otherwise I'd recommend the hotel.",Essex,2/15/2015
